index,time,x,y,z,intensity
18,1580970553172,2.00070000000441E-06,9.95397000000016E-05,0.0006047808,1
19,1580970553178,-5.64992999999986E-05,0.0002243397,0.0007607808,1
20,1580970553183,1.7600700000002E-05,0.0004544397,0.0008348808,1
21,1580970553189,1.7600700000002E-05,0.0004544397,0.0010376808,1
22,1580970553195,-4.86992999999963E-05,0.0002204397,0.0010376808,1
23,1580970553201,-0.0001110993,0.0001580397,0.0005462808,1
24,1580970553206,-0.0001032993,0.0002633397,0.0006086808,1
25,1580970553212,-0.0001032993,0.0002633397,0.0006086808,1
26,1580970553218,3.32006999999995E-05,0.0003491397,0.0008114808,1
27,1580970553224,-0.0001188993,0.0002867397,0.0009050808,1
28,1580970553235,-0.0001305993,0.0002750397,0.0007373808,1
29,1580970553241,3.71007000000006E-05,0.0002828397,0.0004604808,1
30,1580970553247,-0.0001305993,0.0003803397,0.0008933808,1
31,1580970553253,-0.0001305993,7.61397000000018E-05,0.0006983808,1
32,1580970553258,-3.69992999999999E-05,7.61397000000018E-05,0.0006983808,1
33,1580970553264,-2.52992999999965E-05,-1.8602999999999E-06,0.0007334808,1
34,1580970553270,-6.8199299999995E-05,7.61397000000018E-05,0.0007919808,1
35,1580970553276,-6.8199299999995E-05,7.61397000000018E-05,0.0007919808,1
36,1580970553281,-3.69992999999999E-05,0.0001580397,0.0008582808,1
37,1580970553287,-4.0899300000001E-05,0.0003647397,0.0011585808,1
38,1580970553293,-0.0002085993,0.0004076397,0.0009713808,1
39,1580970553299,-0.0002085993,0.0004076397,0.0009713808,1
40,1580970553305,-9.15993000000018E-05,0.0002945397,0.0005735808,1
41,1580970553310,-8.76993000000006E-05,0.0003335397,0.0008075808,1
42,1580970553317,-7.98992999999984E-05,0.0001853397,0.0008699808,1
43,1580970553322,-7.98992999999984E-05,0.0001853397,0.0008699808,1
44,1580970553328,-0.0001188993,0.0002984397,0.0010883808,1
45,1580970553334,-5.25992999999975E-05,0.0002438397,0.0006788808,1
46,1580970553340,-0.0001071993,0.0001580397,0.0005384808,1
47,1580970553346,-0.0001071993,0.0001580397,0.0005384808,1
48,1580970553352,6.83007000000027E-05,0.0001697397,0.0007685808,1
49,1580970553357,0.0001151007,0.0002594397,0.0010376808,1
50,1580970553363,0.0001151007,0.0002594397,0.0007841808,1
51,1580970553369,-0.0001383993,0.0003179397,0.0007841808,1
52,1580970553375,-0.0001695993,0.0004037397,0.0007763808,1
53,1580970553381,-7.59992999999973E-05,0.0004544397,0.0008426808,1
54,1580970553386,-7.59992999999973E-05,0.0004544397,0.0008426808,1
55,1580970553392,-7.98992999999984E-05,0.0003062397,0.0009323808,1
56,1580970553398,-9.93992999999971E-05,0.0002555397,0.0008270808,1
57,1580970553404,-0.0001539993,0.0002009397,0.0004097808,1
58,1580970553410,-0.0001539993,0.0002009397,0.0004097808,1
59,1580970553415,-5.64992999999986E-05,0.0002438397,0.0008387808,1
60,1580970553421,-0.0002241993,0.0002243397,0.0009011808,1
61,1580970553427,-6.42993000000008E-05,0.0002984397,0.0010376808,1
62,1580970553433,-6.42993000000008E-05,0.0002984397,0.0010376808,1
63,1580970553439,-0.0001188993,0.0002282397,0.0007139808,1
64,1580970553444,-0.0001851993,0.0004544397,0.0007607808,1
65,1580970553450,-0.0001851993,0.0002828397,0.0010064808,1
66,1580970553456,9.95007000000048E-05,0.0002828397,0.0010064808,1
67,1580970553462,0.0001502007,0.0002204397,0.0010532808,1
68,1580970553468,9.56007000000037E-05,0.0002321397,0.0007802808,1
69,1580970553474,9.56007000000037E-05,0.0002321397,0.0007802808,1
70,1580970553479,-0.0001149993,0.0001697397,0.0007100808,1
71,1580970553485,-8.76993000000006E-05,0.0002594397,0.0010025808,1
72,1580970553491,-0.0001383993,5.66396999999996E-05,0.0008387808,1
73,1580970553497,-0.0001383993,5.66396999999996E-05,0.0008387808,1
74,1580970553503,-8.37992999999995E-05,4.88397000000009E-05,0.0008348808,1
75,1580970553508,-0.0001968993,0.0002555397,0.0005540808,1
76,1580970553514,-0.0001305993,0.0004271397,0.0008348808,1
77,1580970553520,-0.0001305993,0.0004271397,0.0008348808,1
78,1580970553526,-3.30992999999988E-05,0.0002321397,0.0010103808,1
79,1580970553531,-9.93992999999971E-05,0.0001112397,0.0006359808,1
80,1580970553537,-9.93992999999971E-05,0.0001112397,0.0007412808,1
81,1580970553543,-0.0002514993,0.0002711397,0.0007412808,1
82,1580970553549,5.66006999999993E-05,0.0002204397,0.0009323808,1
83,1580970553555,2.00070000000441E-06,0.0003569397,0.0008660808,1
84,1580970553560,2.00070000000441E-06,0.0003569397,0.0008660808,1
85,1580970553566,-5.79929999999784E-06,0.0002711397,0.0009011808,1
86,1580970553572,0.0001892007,0.0001931397,0.0006749808,1
